Current Year Week Ending,Geography,Timeframe,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,Elasticity,California Supplier,Unidades pequeñas,Unidades medianas,Unidades grandes,Unidades Aguacates en Bolsas,Total Unidades en Granel y Bolsas,tasa_consumo_interno_california,Quarter
2024-03-03,California,Weekly,Organic and Conventional,1.433281,6582939.78,3908931.96,475208.75,622517.12,1576281.96,2.1102343035249187,1327020,20573326.10526316,950417.5,988122.4126984128,3152563.92,25664429.93796157,0.31036364889862944,2024Q1
2024-03-10,California,Weekly,Organic and Conventional,1.3857355,7174081.06,4359792.140000001,611792.64,575604.04,1626892.26,-0.4802905360778147,1859143,22946274.421052635,1223585.28,913657.2063492064,3253784.52,28337301.42740184,0.39380326165781415,2024Q1
2024-03-17,California,Weekly,Organic and Conventional,1.3713775,7051751.71,4305031.8100000005,622365.82,510441.53,1613912.5499999998,-1.5721974989645888,3776984,22658062.157894734,1244731.64,810224.6507936509,3227825.1,27940843.54868839,0.8113918375245264,2024Q1
2024-03-24,California,Weekly,Organic and Conventional,1.384173,6706612.29,4112305.48,541880.03,435595.16,1616831.62,-2.6264806081016445,5685112,21643713.05263158,1083760.06,691420.8888888889,3233663.24,26652557.241520464,1.2803394968619066,2024Q1
2024-03-31,California,Weekly,Organic and Conventional,1.47053,6686862.04,4098430.61,470446.57,527424.75,1590560.11,-0.7859331262317895,7663572,21570687.42105263,940893.14,837182.1428571428,3181120.22,26529882.92390977,1.7338874832092175,2024Q1
2024-04-07,California,Weekly,Organic and Conventional,1.436645,7090969.92,4294746.71,538847.46,606044.72,1651331.03,0.5047608869754305,7086912,22603930.05263158,1077694.92,961975.746031746,3302662.06,27946262.77866333,1.5221529881067197,2024Q2
2024-04-14,California,Weekly,Organic and Conventional,1.4686249999999998,7080583.99,3862903.92,603137.2000000001,940741.33,1673801.55,1.464252474254011,11245154,20331073.263157893,1206274.4,1493240.2063492062,3347603.1,26378190.9695071,2.558853381844668,2024Q2
2024-04-21,California,Weekly,Organic and Conventional,1.466135,6850858.39,4063837.54,533167.2000000001,634317.43,1619536.21,2.721318122713559,13312927,21388618.63157895,1066334.4,1006853.0634920635,3239072.42,26700878.51507101,2.9927676636265024,2024Q2
2024-04-28,California,Weekly,Organic and Conventional,1.5619299999999998,6603184.44,4020648.02,467722.87,498490.04,1616323.52,-0.2269432387348989,14365526,21161305.36842105,935445.74,791254.0317460317,3232647.04,26120652.18016708,3.301129177941988,2024Q2
2024-05-05,California,Weekly,Organic and Conventional,1.462885,8085144.67,5018614.89,615515.33,798353.37,1652661.08,-2.127168157227888,13238426,26413762.578947365,1231030.66,1267227.5714285714,3305322.16,32217342.970375936,2.4664461314963404,2024Q2
2024-05-12,California,Weekly,Organic and Conventional,1.587975,6947433.98,4017424.22,608543.3,743710.13,1577756.34,-1.1295825664746055,14048666,21144338.0,1217086.6,1180492.2698412698,3155512.68,26697429.54984127,3.1585709827640533,2024Q2
2024-05-19,California,Weekly,Organic and Conventional,1.549995,6872303.109999999,4100057.93,497383.63,638434.85,1636426.7,1.0432516972618926,15494565,21579252.263157897,994767.26,1013388.6507936508,3272853.4,26860261.573951542,3.4625348521150814,2024Q2
2024-05-26,California,Weekly,Organic and Conventional,1.5896974695,6698681.880000001,4088885.22,420778.74,628340.68,1560677.2400000002,-28.07593252233251,17535877,21520448.52631579,841557.48,997366.1587301588,3121354.4800000004,26480726.64504595,3.974866942167921,2024Q2
2024-06-02,California,Weekly,Organic and Conventional,1.557523593,7167185.34,4605811.45,487070.8000000001,495427.44,1578875.65,-1.199915334363685,12488684,24241112.89473684,974141.6000000002,786392.7619047619,3157751.3,29159398.556641605,2.5707693761214485,2024Q2
2024-06-09,California,Weekly,Organic and Conventional,1.587593126,6905363.0,4253752.21,376694.06,641728.7799999999,1633187.97,-2.338958576329339,15242930,22388169.52631579,753388.12,1018617.111111111,3266375.94,27426550.697426904,3.335970996879757,2024Q2
2024-06-16,California,Weekly,Organic and Conventional,1.5766727595,6841211.49,4117282.12,402733.7599999999,662430.21,1658765.41,-1.396557975963019,16849650,21669905.89473684,805467.5199999998,1051476.5238095238,3317530.82,26844380.758546364,3.7675801223292416,2024Q2
2024-06-23,California,Weekly,Organic and Conventional,1.524644075,7496564.95,4701530.180000001,458978.24,700433.86,1635622.67,-1.7936861929386168,19127552,24744895.684210528,917956.48,1111799.7777777778,3271245.34,30045897.281988304,3.82119513413314,2024Q2
2024-06-30,California,Weekly,Organic and Conventional,1.5808465025,7119280.07,4445981.140000001,393166.66,658662.95,1621469.3199999998,-8.710516632314146,21088040,23399900.736842107,786333.32,1045496.746031746,3242938.64,28474669.44287385,4.445314871962365,2024Q2
2024-07-07,California,Weekly,Organic and Conventional,1.54667592,8057296.7,5335612.58,509683.09,525369.1100000001,1686631.9200000002,-13.02608860681249,16572446,28082171.47368421,1019366.18,833919.2222222224,3373263.8400000003,33308720.715906437,2.9864390960776506,2024Q3
2024-07-14,California,Weekly,Organic and Conventional,1.60243233,7105597.97,4334936.68,432092.77,572208.51,1766360.01,-5.764777569870108,16880943,22815456.210526317,864185.54,908267.4761904762,3532720.02,28120629.24671679,3.6032688879897825,2024Q3
2024-07-21,California,Weekly,Organic and Conventional,1.6092877049999998,7235247.48,4508039.56,386138.57,651794.76,1689274.6,-0.9335726954943768,13925369,23726524.0,772277.14,1034594.8571428572,3378549.2,28911945.19714285,2.8910420135814263,2024Q3
2024-07-28,California,Weekly,Organic and Conventional,1.573510004,7363696.19,4654754.41,421142.0,617954.48,1669845.29,-0.5738480119321372,12316896,24498707.42105263,842284.0,980880.126984127,3339690.58,29661562.12803676,2.4924833041571532,2024Q3
2024-08-04,California,Weekly,Organic and Conventional,1.5970918215,6959052.109999999,4245348.2700000005,385063.66,583004.96,1745635.21,-0.3685627331766219,11567649,22343938.263157897,770127.32,925404.6984126983,3491270.42,27530740.701570597,2.5220413871038962,2024Q3
2024-08-11,California,Weekly,Organic and Conventional,1.6163420885,7262137.14,4423650.96,354504.19,714086.49,1769895.5099999998,6.06581531990903,12446470,23282373.47368421,709008.38,1133470.619047619,3539791.02,28664643.49273183,2.606301505209217,2024Q3
2024-08-18,California,Weekly,Organic and Conventional,1.6417804615,6847541.63,4077506.86,342156.81,623268.43,1804609.53,4.012536054628815,12655420,21460562.42105263,684313.62,989314.9682539684,3609219.06,26743410.0693066,2.8404345206988926,2024Q3
2024-08-25,California,Weekly,Organic and Conventional,1.662735709,6792669.96,4273507.84,363371.61,481280.7400000001,1674509.78,-10.00935072829755,11247875,22492146.52631579,726743.22,763937.6825396827,3349019.56,27331846.98885547,2.470168069132312,2024Q3
2024-09-01,California,Weekly,Organic and Conventional,1.586010535,7307374.18,4849094.96,399130.43,493291.15,1565857.63,-1.0144194453053557,9372390,25521552.42105263,798260.86,783001.8253968254,3131715.26,30234530.366449453,1.8606818778148355,2024Q3
2024-09-08,California,Weekly,Organic and Conventional,1.650088796,6986040.9,4412858.0,383350.59,515063.1,1674769.22,13.953875882268507,5729078,23225568.42105263,766701.18,817560.4761904761,3349538.44,28159368.51724311,1.2212000872199402,2024Q3
2024-09-15,California,Weekly,Organic and Conventional,1.595326551,6774519.94,4259833.5600000005,386643.58,458252.47,1669790.33,1.2581086712137823,3281983,22420176.63157895,773287.16,727384.873015873,3339580.66,27260429.32459482,0.7226510513314254,2024Q3
2024-09-22,California,Weekly,Organic and Conventional,1.592724394,6838255.84,4519651.989999999,372219.85,423607.34,1522776.65,-0.6410927094607972,2482685,23787642.052631576,744439.7,672392.6031746032,3045553.3,28250027.65580618,0.5275064155651732,2024Q3
2024-09-29,California,Weekly,Organic and Conventional,1.663747022,6425820.51,3961991.63,398663.63,498488.29,1566676.98,-1.3234067873243682,1622865,20852587.52631579,797327.26,791251.253968254,3133353.96,25574520.00028405,0.3808902937167789,2024Q3
2024-10-06,California,Weekly,Organic and Conventional,1.6583052815,6867093.29,4286173.42,476449.81,523020.08,1581449.99,-10.93220223429951,1340275,22558807.47368421,952899.62,830190.6031746032,3162899.98,27504797.676858816,0.29248962459910866,2024Q4
2024-10-13,California,Weekly,Organic and Conventional,1.6319448405,6849095.82,4283950.75,450027.34,625520.03,1489597.71,-2.581897117628284,1203050,22547109.21052632,900054.68,992888.9365079366,2979195.42,27419248.24703425,0.26336201526499625,2024Q4
2024-10-20,California,Weekly,Organic and Conventional,1.7091869265,6173735.59,3795946.1,385701.41,541844.1,1450243.97,6.3280584783853655,258650,19978663.684210528,771402.82,860070.0,2900487.94,24510624.44421053,0.06334073666450675,2024Q4
2024-10-27,California,Weekly,Organic and Conventional,1.5853669195,6957570.79,4524142.98,481349.73,427508.3,1524569.79,-2.759128584845099,0,23811278.842105266,962699.46,678584.6031746032,3049139.58,28501702.485279877,0.0,2024Q4
2024-11-03,California,Weekly,Organic and Conventional,1.6730729429999998,6050568.49,3734917.11,419590.17,391084.2,1504977.02,-3.567414202456056,0,19657458.47368421,839180.34,620768.5714285715,3009954.04,24127361.42511278,0.0,2024Q4
